species	assembly_name	base_pairs	golden_path_length	coding_genes_alternative	non_coding_genes_alternative	small_non_coding_genes_alternative	long_non_coding_genes_alternative	misc_non_coding_genes_alternative	pseudogenes_alternative	gene_transcripts_alternative	coding_genes	non_coding_genes	small_non_coding_genes	long_non_coding_genes	misc_non_coding_genes	pseudogenes	gene_transcripts	genscan_gene_predictions	short_variants	structural_variants	fgenesh_gene_prediction	total_length	ungapped_length	n50	spanned_gaps	unspanned_gaps	scaffold_count	count_contig	contig_N50	contig_L50	contig_N75	contig_N90	scaf_L50	scaf_N75	scaf_N90	replicon_count	count_non_chromosome_replicon	count_alt_loci_units	count_regions	count_patches	domain	kingdom	phylum	class	order	family	genus	3prime_overlapping_ncRNA	antisense	artifact	bidirectional_promoter_lncRNA	IG_C_gene	IG_C_pseudogene	IG_D_gene	IG_D_pseudogene	IG_J_gene	IG_J_pseudogene	IG_LV_gene	IG_pseudogene	IG_V_gene	IG_V_pseudogene	lincRNA	lncRNA	macro_lncRNA	miRNA	misc_RNA	Mt_rRNA	Mt_tRNA	ncRNA	nontranslating_CDS	polymorphic_pseudogene	pre_miRNA	processed_pseudogene	processed_transcript	protein_coding	pseudogene	ribozyme	rRNA	rRNA_pseudogene	scaRNA	scRNA	sense_intronic	sense_overlapping	snoRNA	snRNA	sRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_J_pseudogene	TR_V_gene	TR_V_pseudogene	transcribed_processed_pseudogene	transcribed_unitary_pseudogene	transcribed_unprocessed_pseudogene	translated_processed_pseudogene	translated_unprocessed_pseudogene	transposable_element	tRNA	unitary_pseudogene	unknown_likely_coding	unprocessed_pseudogene	vault_RNA	Y_RNA	3prime_overlapping_ncRNA_proportion	antisense_proportion	artifact_proportion	bidirectional_promoter_lncRNA_proportion	IG_C_gene_proportion	IG_C_pseudogene_proportion	IG_D_gene_proportion	IG_D_pseudogene_proportion	IG_J_gene_proportion	IG_J_pseudogene_proportion	IG_LV_gene_proportion	IG_pseudogene_proportion	IG_V_gene_proportion	IG_V_pseudogene_proportion	lincRNA_proportion	lncRNA_proportion	macro_lncRNA_proportion	miRNA_proportion	misc_RNA_proportion	Mt_rRNA_proportion	Mt_tRNA_proportion	ncRNA_proportion	nontranslating_CDS_proportion	polymorphic_pseudogene_proportion	pre_miRNA_proportion	processed_pseudogene_proportion	processed_transcript_proportion	protein_coding_proportion	pseudogene_proportion	ribozyme_proportion	rRNA_proportion	rRNA_pseudogene_proportion	scaRNA_proportion	scRNA_proportion	sense_intronic_proportion	sense_overlapping_proportion	snoRNA_proportion	snRNA_proportion	sRNA_proportion	TEC_proportion	TR_C_gene_proportion	TR_D_gene_proportion	TR_J_gene_proportion	TR_J_pseudogene_proportion	TR_V_gene_proportion	TR_V_pseudogene_proportion	transcribed_processed_pseudogene_proportion	transcribed_unitary_pseudogene_proportion	transcribed_unprocessed_pseudogene_proportion	translated_processed_pseudogene_proportion	translated_unprocessed_pseudogene_proportion	transposable_element_proportion	tRNA_proportion	unitary_pseudogene_proportion	unknown_likely_coding_proportion	unprocessed_pseudogene_proportion	vault_RNA_proportion	Y_RNA_proportion	total_genes	label	species_name
ciona intestinalis	GCA_000224145.1	115227500	115227500	NA	NA	NA	NA	NA	NA	NA	16671	455	442	NA	13	27	17784	10697	NA	NA	NA	115226814	112163304	5152901	5125	0	1272	6381	37096	875	18571	8605	9	396326	40806	15	1	0	0	0	Eukaryota	Metazoa	Chordata	Ascidiacea	Phlebobranchia	Cionidae	Ciona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	13	2	24	0	0	0	0	0	0	16671	27	0	35	0	0	0	0	0	54	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0170232612371014	0.00075788491809013	0.000116597679706174	0.00139917215647409	0	0	0	0	0	0	0.971899959190812	0.00157406867603335	0	0.00204045939485804	0	0	0	0	0	0.00314813735206669	0.00204045939485804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17153	Ascidiacea	C.intestinalis
cyanistes caeruleus	GCA_002901205.1	1186980630	1186980630	NA	NA	NA	NA	NA	NA	NA	15470	8955	437	8343	175	84	41815	46205	NA	NA	NA	1186980630	1098916372	16846143	21244	0	29297	50541	105778	2815	44215	12196	22	7018745	438520	31	0	0	0	0	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Paridae	Cyanistes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Aves	C.caeruleus
cyclopterus lumpus	GCA_009769545.1	572885595	572885595	NA	NA	NA	NA	NA	NA	NA	21513	1400	1157	238	5	239	52794	35177	NA	NA	NA	572902877	562720673	23863342	347	0	49	396	4950682	35	1757068	842316	11	21858148	16667136	26	1	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Cyclopteridae	Cyclopterus	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	231	0	73	5	0	0	0	0	0	0	6	0	21506	233	7	530	0	8	0	0	0	327	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4.31928127159641e-05	0	0	0	0.000259156876295784	0	0	0.0099775397373877	0	0.00315307532826538	0.00021596406357982	0	0	0	0	0	0	0.000259156876295784	0	0.928904630269523	0.0100639253628196	0.000302349689011748	0.022892190739461	0	0.000345542501727712	0	0	0	0.0141240497581202	0.00928645473393227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000172771250863856	0	23152	Actinopteri	C.lumpus
cyprinodon variegatus	GCA_000732505.1	1035184475	1035184475	NA	NA	NA	NA	NA	NA	NA	23019	404	387	4	13	35	33363	46874	NA	NA	NA	1035167975	899524266	835301	101700	0	9258	110958	20803	11158	8111	2836	365	377252	159110	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Cyprinodontidae	Cyprinodon	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	64	13	2	22	0	0	0	0	2	0	22993	33	4	48	0	9	0	0	0	175	66	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010231051240515	0	0	0	0	0.00272828033080399	0.00055418194219456	8.52587603376247e-05	0.000937846363713872	0	0	0	0	8.52587603376247e-05	0	0.980177338221502	0.00140676954557081	0.000170517520675249	0.00204621024810299	0	0.000383664421519311	0	0	0	0.00746014152954216	0.00281353909114161	4.26293801688123e-05	0	0	0	8.52587603376247e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23458	Actinopteri	C.variegatus
dromaius novaehollandiae	GCA_003342905.1	1192237364	1192237364	NA	NA	NA	NA	NA	NA	NA	15615	3571	450	2978	143	56	33416	43121	NA	NA	NA	1192237364	1180465803	3305683	16964	0	2777	19741	172131	1940	81732	36378	112	1637951	745872	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Aves	Casuariiformes	Dromaiidae	Dromaius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Aves	D.novaehollandiae
drosophila melanogaster	GCA_000001215.4	143726002	143726002	NA	NA	NA	NA	NA	NA	NA	13968	4044	4044	NA	NA	342	41209	NA	NA	NA	NA	143726002	142573024	25286936	572	0	1870	2442	21485538	3	17021040	666663	3	23542271	23513712	8	1	0	0	0	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	2539	0	0	262	0	0	13968	342	0	115	0	0	0	0	0	299	32	0	0	0	0	0	0	0	0	0	0	0	0	0	5578	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202657529667391	0	0	0	0.106092261407321	0	0	0.0109476851078054	0	0	0.583653685442086	0.0142904897208758	0	0.00480528163128865	0	0	0	0	0	0.0124937322413505	0.00133712184522815	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233077051646331	0.0130369379909744	0	0	0	0	0	23932	Insecta	D.melanogaster
rhinolophus ferrumequinum	GCA_004115265.2	2075768562	2075768562	NA	NA	NA	NA	NA	NA	NA	19533	2011	1733	263	15	628	36525	48051	NA	NA	NA	2075785400	2068239309	88025743	155	0	135	290	31900497	22	13966365	6134356	11	60482744	44817474	29	1	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	0	0	0	0	1	0	0	0	0	0	0	0	63	0	0	259	0	207	15	0	0	0	0	0	0	149	0	19452	479	4	3	0	21	0	0	0	585	907	0	0	3	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	4.51019303626195e-05	0	0	0	0	0	0	0	0.00284142161284503	0	0	0.0116813999639185	0	0.00933609958506224	0.000676528955439293	0	0	0	0	0	0	0.00672018762403031	0	0.877322749413675	0.0216038246436948	0.000180407721450478	0.000135305791087859	0	0.00094714053761501	0	0	0	0.0263846292621324	0.0409074508388959	0	0	0.000135305791087859	0	0.000315713512538337	0	0.000315713512538337	0	0	0	0	0	0	0	0	0	0	0	9.0203860725239e-05	0.000360815442900956	22172	Mammalia	R.ferrumequinum
rhinopithecus roxellana	GCA_000769185.1	2899552139	2899552139	NA	NA	NA	NA	NA	NA	NA	21289	6946	4738	289	1919	648	53592	53261	NA	NA	NA	2899551855	2856043601	1549224	61291	0	135513	196804	77151	10825	39145	18000	533	701145	221528	1	1	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	0	0	0	0	16	0	0	0	0	0	0	0	88	0	282	0	0	1367	1919	2	22	0	0	0	0	285	0	21132	363	7	655	0	47	0	0	0	850	1792	3	0	8	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055395907627324	0	0	0	0	0	0	0	0.00304677491950282	0	0.00976352871931586	0	0	0.047328878579095	0.0664404667105218	6.9244884534155e-05	0.000761693729875705	0	0	0	0	0.00986739604611709	0	0.731641449987882	0.0125679465429491	0.000242357095869543	0.0226776996849358	0	0.00162725478655264	0	0	0	0.0294290759270159	0.0620434165426029	0.000103867326801233	0	0.00027697953813662	0	0	0	0.00155800990201849	0	0	0	0	0	0	0	0	0	0	0	0	0	28883	Mammalia	R.roxellana
saccharomyces cerevisiae	GCA_000146045.2	12157105	12157105	NA	NA	NA	NA	NA	NA	NA	6600	424	424	NA	NA	12	7127	NA	263537	NA	NA	12071326	12071326	924431	0	0	16	16	924431	6	666816	439888	6	666816	439888	16	0	0	0	0	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	6600	12	0	24	0	0	0	0	0	77	6	0	0	0	0	0	0	0	0	0	0	0	0	0	91	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00252560684720079	0	0	0	0	0	0.926055843973621	0.00168373789813386	0	0.00336747579626771	0	0	0	0	0	0.0108039848463589	0.000841868949066929	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127683457275151	0.0419531359618353	0	0	0	0	0	7127	Saccharomycetes	S.cerevisiae
salmo trutta	GCA_901001165.1	2371880186	2371880186	NA	NA	NA	NA	NA	NA	NA	43935	4441	2768	1624	49	581	122381	64498	NA	NA	NA	2371863509	2298262820	52209666	3937	0	1440	5377	1703178	294	511171	177547	18	45589842	25483426	40	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	0	0	0	0	0	0	39	0	2	0	0	0	58	0	0	1578	0	400	49	2	22	0	0	0	0	28	0	43759	553	46	755	0	20	0	0	0	702	854	0	0	0	0	3	0	74	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0.000796617439794105	0	4.08521763996977e-05	0	0	0	0.00118471311559123	0	0	0.0322323671793615	0	0.00817043527993954	0.00100087832179259	4.08521763996977e-05	0.000449373940396675	0	0	0	0	0.000571930469595768	0	0.893825193537186	0.0112956267745164	0.000939600057193047	0.0154216965908859	0	0.000408521763996977	0	0	0	0.0143391139162939	0.0174438793226709	0	0	0	0	6.12782645995465e-05	0	0.00151153052678881	0	0	0	0	0	0	0	0	0	0	0	0.000224686970198337	4.08521763996977e-05	48957	Actinopteri	S.trutta
